Comparisons    Time
843            2.00
834            2.00
747            2.00
869            2.00
523            1.00
1009            4.00
1005            2.00
493            1.00
779            3.00
651            1.00
244            1.00
184            1.00
812            1.00
834            2.00
963            3.00
833            2.00
622            2.00
471            2.00
853            1.00
613            1.00
190            1.00
795            1.00
602            2.00
527            2.00
330            0.00
301            0.00
190            0.00
420            1.00
673            1.00
890            3.00
535            1.00
1032            2.00
1034            4.00
1022            2.00
270            1.00
803            2.00
935            2.00
969            1.00
720            2.00
694            1.00
862            1.00
550            2.00
741            1.00
802            1.00
303            2.00
1029            2.00
282            1.00
133            1.00
882            1.00
664            2.00
466            2.00
745            1.00
410            1.00
373            2.00
485            1.00
472            1.00
189            1.00
635            2.00
802            2.00
792            2.00
198            0.00
950            2.00
674            3.00
465            1.00
315            0.00
1028            3.00
771            2.00
456            1.00
992            3.00
237            1.00
1033            2.00
801            2.00
281            1.00
666            2.00
288            1.00
335            0.00
624            2.00
780            3.00
968            2.00
1052            2.00
493            2.00
167            1.00
869            2.00
487            2.00
480            1.00
558            1.00
828            3.00
609            1.00
443            1.00
1037            4.00
273            0.00
338            1.00
578            2.00
655            1.00
198            1.00
134            1.00
1023            3.00
250            1.00
598            1.00
636            1.00
301            0.00
376            1.00
903            3.00
1043            2.00
913            3.00
208            0.00
862            3.00
812            2.00
432            2.00
328            1.00
1012            3.00
579            2.00
327            1.00
229            1.00
736            2.00
159            1.00
141            0.00
526            2.00
242            1.00
628            3.00
957            3.00
504            1.00
874            2.00
828            1.00
696            2.00
186            1.00
792            1.00
160            1.00
777            3.00
783            1.00
915            3.00
1010            3.00
163            0.00
623            1.00
251            1.00
673            2.00
159            1.00
770            2.00
468            2.00
187            0.00
295            1.00
336            1.00
348            1.00
655            1.00
966            3.00
765            2.00
749            1.00
162            1.00
612            3.00
736            3.00
194            1.00
144            0.00
1028            4.00
878            3.00
725            1.00
229            1.00
554            2.00
811            2.00
153            0.00
613            3.00
704            3.00
304            0.00
985            2.00
498            2.00
631            2.00
215            0.00
334            1.00
582            2.00
302            1.00
771            2.00
881            2.00
633            1.00
436            1.00
874            2.00
666            1.00
342            1.00
971            2.00
146            0.00
519            1.00
809            2.00
577            1.00
338            1.00
869            2.00
579            1.00
146            1.00
1017            2.00
668            1.00
859            2.00
622            1.00
1037            2.00
657            2.00
676            1.00
529            1.00
912            1.00
310            1.00
892            2.00
937            1.00
837            2.00
480            1.00
370            1.00
534            1.00
482            1.00
358            1.00
500            1.00
325            1.00
138            0.00
782            2.00
146            0.00
555            1.00
247            1.00
918            2.00
207            1.00
866            1.00
914            2.00
416            1.00
886            2.00
916            1.00
1020            3.00
309            1.00
429            1.00
268            1.00
640            2.00
140            1.00
187            1.00
642            2.00
897            2.00
254            1.00
658            2.00
989            2.00
911            3.00
399            2.00
202            1.00
724            2.00
689            2.00
990            3.00
388            1.00
779            1.00
347            1.00
343            2.00
658            1.00
1024            2.00
544            2.00
797            3.00
755            1.00
379            2.00
603            2.00
520            1.00
933            2.00
157            1.00
431            1.00
313            1.00
764            2.00
467            2.00
1040            4.00
135            0.00
700            1.00
235            1.00
138            0.00
954            2.00
579            2.00
541            2.00
925            3.00
845            3.00
852            2.00
661            2.00
615            1.00
615            2.00
298            1.00
816            1.00
749            2.00
819            2.00
1052            2.00
584            1.00
944            1.00
712            1.00
144            0.00
246            1.00
855            2.00
352            1.00
222            1.00
543            1.00
1056            2.00
685            1.00
660            1.00
1044            2.00
310            0.00
474            1.00
729            1.00
565            1.00
660            1.00
491            1.00
423            1.00
305            0.00
237            1.00
447            1.00
439            1.00
660            1.00
459            1.00
670            3.00
666            3.00
252            1.00
192            1.00
793            2.00
735            3.00
313            1.00
564            2.00
406            1.00
525            1.00
619            2.00
813            3.00
435            1.00
321            1.00
755            2.00
462            1.00
676            2.00
222            1.00
533            2.00
562            2.00
1020            4.00
241            1.00
392            1.00
833            3.00
671            2.00
1005            2.00
483            1.00
321            1.00
526            2.00
270            1.00
183            0.00
918            3.00
865            3.00
884            2.00
447            2.00
649            1.00
743            3.00
142            1.00
858            2.00
623            2.00
536            2.00
748            2.00
241            0.00
290            1.00
698            1.00
427            1.00
627            3.00
982            1.00
268            0.00
917            3.00
427            1.00
156            1.00
770            3.00
842            3.00
555            1.00
413            1.00
418            1.00
441            1.00
695            1.00
733            2.00
1039            4.00
266            1.00
244            1.00
572            2.00
993            3.00
232            1.00
681            2.00
785            3.00
900            3.00
393            1.00
859            2.00
410            2.00
619            2.00
998            2.00
253            1.00
996            4.00
288            1.00
819            2.00
147            1.00
532            2.00
788            2.00
781            1.00
785            3.00
858            3.00
593            1.00
172            0.00
253            1.00
490            1.00
790            3.00
907            2.00
509            2.00
984            3.00
572            1.00
530            1.00
136            1.00
442            1.00
199            0.00
607            2.00
688            3.00
451            1.00
238            1.00
858            3.00
667            2.00
262            1.00
813            3.00
857            3.00
529            1.00
343            1.00
328            1.00
398            1.00
807            2.00
668            2.00
733            2.00
244            0.00
882            3.00
941            3.00
653            1.00
700            1.00
483            1.00
380            1.00
484            2.00
750            3.00
335            1.00
914            3.00
992            3.00
859            1.00
286            1.00
748            2.00
860            2.00
201            0.00
772            1.00
216            1.00
463            1.00
725            2.00
567            2.00
768            2.00
362            1.00
287            0.00
357            0.00
361            0.00
354            1.00
560            1.00
272            1.00
833            1.00
523            1.00
331            1.00
621            1.00
891            2.00
154            1.00
891            2.00
741            2.00
720            1.00
881            1.00
152            0.00
831            2.00
1057            2.00
260            1.00
996            2.00
927            2.00
141            0.00
494            1.00
326            1.00
1030            2.00
663            1.00
667            2.00
539            1.00
707            1.00
720            2.00
486            2.00
424            1.00
990            2.00
551            1.00
683            1.00
382            1.00
497            1.00
248            1.00
355            0.00
731            1.00
862            1.00
504            1.00
584            1.00
477            1.00
553            1.00
531            1.00
748            1.00
406            1.00
864            2.00
920            1.00
416            1.00
892            1.00
530            2.00
600            1.00
1024            1.00
876            2.00
545            1.00
875            1.00
223            1.00
968            2.00
235            0.00
822            2.00
550            1.00
899            2.00
371            1.00
175            0.00
910            2.00
261            1.00
635            1.00
857            2.00
464            1.00
1006            2.00
723            1.00
462            1.00
346            0.00
325            0.00
190            1.00
341            1.00
902            1.00
574            2.00
906            2.00
134            1.00
1049            2.00
1014            2.00
280            1.00
677            1.00
719            2.00
548            1.00
1023            2.00
179            1.00
735            1.00
382            1.00
453            1.00
573            1.00
611            1.00
806            2.00
775            2.00
449            1.00
848            2.00
677            2.00
720            1.00
203            1.00
824            1.00
459            1.00
561            1.00
326            1.00
